comment,label,df,cleaned
අගමැති තුමා ඇතුළු රණවිරු පිරිස මිනිසුන්ගේ ජීවිත බේරාගන්නට විටෙක හෙදියන් විටෙක වෛද්‍යවරුන් විටෙක රණවිරුවන් මෙන් මෙම කරගෙන කර්තව්‍යය මුළු ලෝකයම අගය කරනවා .ඔබ සියලු දෙනාටම මෙවැනි සාර්ථක වැඩපිළිවෙළ කරගෙන යාම තුලින් විශාල පිනක් මෙම ජීවිත කාලයේදී ලැබේවි .මම ඉන්න රටේ මිනිසුන් විශාල ගන්නන් මැරෙනවා .දියුණු රටවල් අසරණ වෙලා විසඳුමක් නැතිව ඉන්න වේලාවක ඔබගේ නිහඬ පාලනය අගනා බව සියලු දෙනාටම අවබෝධ වේවා .ඔබ තුමා ඇතුළු සියලුම දෙනාටම සියලු දෙවියන් ආරක්ෂා කරත්වා .,0,B,අගමැ තුමා ඇතුළු රණවිර පිරිස මිනිස ජීවිත බේරාග විටෙක හෙද විටෙක වෛද්‍ය විටෙක රණවිරු මෙන් මෙම කරගෙන කර්තව්‍ය මුළු ලෝකයම අගය කරනවා ඔබ සියලු දෙනා මෙ සාර්ථක වැඩපිළිවෙළ කරගෙන යාම තුල විශාල පිනක් මෙම ජීවිත කාල ලැබේවි මම ඉන්න රටේ මිනිස විශාල ගන්න මැරෙ දිය රටවල් අසරණ වෙලා විසඳ නැතිව ඉන්න වේලා ඔබගේ නිහඬ පාලනය අගනා බව සියලු දෙනා අවබෝධ වේවා ඔබ තුමා ඇතුළු සියල දෙනා සියලු දෙව ආරක්ෂ කර
අගයමි,0,B,අගයමි
අගෙයි. මේ මොහෝතේ වගකීම ඉටු කිරීමක්. උස්සන්න අවසර දෙන්න. සමාජ මාධ්‍ය තුළ විතරක් නොවේ. මහා ජනමාධ්‍ය තුළ ඉඩක් ලැබුනොත් වටිනව.,0,B,අගෙයි මේ මොහෝත වගකීම ඉටු කිර උස්ස අවසර දෙන්න සමාජ මාධ්‍ තුළ විතර නොවේ මහා ජනමාධ්‍ තුළ ඉඩක් ලැබ වටිනව
අගෙයි. හොඳ ටීම් එකක් හමුවෙලා. වෛද්‍ය සේනාරත්න රෝහලෙත් වෙහෙසවන කෙනෙක්.,0,B,අගෙයි හොඳ ටීම් එකක් හමුවෙ වෛද්‍ සේනාරත් රෝහලෙ වෙහෙසව කෙන
අගෙයි..,0,B,අගෙයි
අංගොඩ මානසික රෝහලට යමුද අක්කේ .පිස්සු ගෑනි,1,B,අංගොඩ මානසික රෝහලට යමුද අක්කේ පිස්ස ගෑනි
අචිචිගේ රෙද්ද සංවෙිදි උබගේ සක්කිලි කම දැන් ටික ටික එලියට එනවා තෝ එන්න එපා මෙි ලංකාව තෝ ගහලා එලවනවා අයේ ඉතාලියට,1,B,අචිචි රෙද්ද සංවෙිදි උබගේ සක්ක කම දැන් ටික ටික එලියට එනවා තෝ එන්න එපා මෙි ලංකාව තෝ ගහලා එලව අයේ ඉතාලි
අජිත රෝහන ගෙන් ගහන්නේ නැ බං.දිවා රැ නොබලා ලංකාව බෙිරා ගන්න වැඩ,0,B,අජිත රෝහන ගෙන් ගහ නැ බං දිවා රැ නොබලා ලංකාව බෙිරා ගන්න වැඩ
අජිත් රොහන මහත්තයො ඔකිට සමාව දෙන්න එපා,1,B,අජිත් රොහන මහත්තය ඔකිට සමාව දෙන්න එපා
අජිත් රෝහන මහතා අපට දෙවිකෙනෙක්,0,B,අජිත් රෝහන මහතා අපට දෙවිකෙන
අජිත් රෝහෝහණ පුකේ ඇරිය නැති එකටද තො වේසි කැ ගහන්නේ පට්ට බඩු ගහන්නැ කිව්වා තොට ලෙඩ නේද පට්ට වේසි යකෝ අජිත් රෝහණ නියම පොරක් සුපිරි චරිතයක් තො වගේ වෙසකන් කරන්නැ වේසියේ,1,B,අජිත් රෝහෝහණ පුකේ ඇරිය නැති එකටද තො වේසි කැ ගහ පට්ට බඩු ගහන්නැ කිව් තොට ලෙඩ නේද පට්ට වේසි යකෝ අජිත් රෝහණ නියම පොරක් සුපිරි චරිත තො වගේ වෙසක කරන්නැ වේසි
අජිත්ගෙ පරන කැල්ලක් ද කොහෙද නැන්නමි මෙවගෙ දගලන්නෙ නැ ,0,B,අජිත් පරන කැල්ල ද කොහෙද නැන්න මෙවගෙ දගල නැ
අඩම්බරයි රැට්ට....,0,B,අඩම්බර රැට්ට
අඩා තලනවා තොගේ ඇට..,1,B,අඩා තලනවා තොගේ ඇට
අඩු කුලේ ඉන්න උන්⁣ෙග් ගතිගුණ ,1,B,අඩු කුලේ ඉන්න උන්⁣ෙග ගතිග
අඩුම කාලෙකින් වැඩිම ලයික් ලැබුණු පෝස්ට් එකත් වෙයිද මන්දා ️,0,B,අඩුම කාලෙ වැඩිම ලයික් ලැබ පෝස්ට එකත් වෙයිද මන්දා ️
අඩුම ගානේ ඕකිට හරියට මතක නැතුව ඇති දරුවෝ පස් දෙනාගෙ තාත්තාලා වත් කවුද කියල..,1,B,අඩුම ගානේ ඕකිට හරියට මතක නැතුව ඇති දරුවෝ පස් දෙනා තාත්තා වත් කවුද කියල
අඩුම ගානේ මේකා O/L වලටවත් විද්‍යාව කියලා කියන විෂයය ඉගෙන ගෙන නැද් ද?,1,B,අඩුම ගානේ මේකා වලට විද්‍යා කියලා කියන විෂයය ඉගෙන ගෙන නැද් ද
අඩුම තරමින් ජනතාවට මොනවාද දුන්නෙ.,0,B,අඩුම තර ජනතා මොනවා දු
අඩෙ අප්පාආආආආ,0,B,අඩෙ අප්පාආආආආ
අඩෙ එල රැට්ටා..,0,B,අඩෙ එල රැට්ට
අඩෙ තාත්තයි පුතයි නේ,0,B,අඩෙ තාත්ත පුතයි නේ
අඩෙ නනා හරිම සරලයිනිබන් වෙලදාමට අපු උබලා මෙකෙ වැලලෙනිනැතුව අරබියටගියා වලලන්න බරිනමි වෙලලා හරිතියාගතිතා උබලාගේ කලයත්ඉතුරැයි සල්ලිත් ඉතුරැයි 72කටම හුකන්න ජුන්ඩත් ඉතුරැයි මෙක අපේ රට අපිට නියට ඉන්නබැරිනමි No way shut down නනා ,1,B,අඩෙ නනා හරිම සරලයිනිබ වෙලදා අපු උබලා මෙකෙ වැලලෙනිනැත අරබියටගි වලල බරින වෙලලා හරිතියාගතිත උබ කලයත්ඉතුරැ සල්ලි ඉතුරැ කටම හුක ජුන්ඩ ඉතුරැ මෙක අපේ රට අපිට නියට ඉන්නබැරින නනා
අඩෙ මාත් ඉන්නවා එලනෙ ඔයි,0,B,අඩෙ මාත් ඉන් එලනෙ ඔයි
අඩෙ යප්පා️,0,B,අඩෙ යප්පා️
අඩේ ,0,B,අඩේ
අඩේ ,0,B,අඩේ
අඩේ අතීතයයි වර්ථමානයයි අතර සංවාදයක්,0,B,අඩේ අතීත වර්ථමාන අතර සංවාද
අඩේ අතීතෙයි වර්තමානෙයි වගේ,0,B,අඩේ අතීතෙ වර්තමානෙ වගේ
අඩේ අර 83 රට ගිය දෙමල මනුස්සයගෙ පාලුවට ගිය ගේ හදල තියෙන හැඩ,0,B,අඩේ අර රට ගිය දෙමල මනුස්ස පාලු ගිය ගේ හදල තියෙන හැඩ
"අඩේ උබ ජා ඇලනේ..අශෙනුත් මෙහෙනේ,,උබටයි අශේන්ටයි එකම වාසගමනේ,,අයියයි මල්ලී ද ?",0,B,අඩේ උබ ජා ඇලනේ අශෙනු මෙහෙන උබටයි අශේන්ට එකම වාසගමන අයි මල්ලී ද
අඩේ ඒක පට්ට,0,B,අඩේ ඒක පට්ට
අඩේ ඕකේ වීඩියෝ එක දාපං ,0,B,අඩේ ඕකේ වීඩි එක දාපං
අඩේ කවුද අඩේ මූ?,0,B,අඩේ කවුද අඩේ මූ
අඩේ ගොන් බැල්ලියේ ඔහේ කීයක් මරණ වෙනවද ඇස් දෙක ඉබ්බො ලෙවකාලද අඩෙ,1,B,අඩේ ගොන් බැල්ලි ඔහේ කීයක් මරණ වෙනවද ඇස් දෙක ඉබ්බො ලෙවකාල අඩෙ
අඩේ තාත්තයි පුතයි වගෙ ආදරෙයි දෙන්නටම ,0,B,අඩේ තාත්ත පුතයි වගෙ ආදරෙ දෙන්න
අඩේ තාත්තායි පුතයි,0,B,අඩේ තාත්තා පුතයි
අඩේ පිස්සුද අඩේ??ගම්පහට,0,B,අඩේ පිස්සු අඩේ ගම්පහ
අඩේ මේක ,0,B,අඩේ මේක
"අඩේ මේක මරු , නිරෝධායනය කරන්න ඕනේ කීප දෙනෙකුත් එක්කම ටැග් කරලා පොස්ට් කරපු එක වටිනවා ",0,B,අඩේ මේක මරු නිරෝධායන කරන්න ඕනේ කීප දෙනෙකු එක්කම ටැග් කරලා පොස්ට කරපු එක වටි
අඩේ යකූ..එකපාර අඳුරන්නත් බැරි උනා..,0,B,අඩේ යකූ එකපාර අඳුරන්න බැරි උනා
අඩේ විඩියෝ එක නැද්ද බන් ,0,B,අඩේ විඩි එක නැද්ද බන්
අඩේ සමනලයා..අද උබලගෙ දවස.විශ් කරන්ඩ අමතක උනා බන් සොරි,0,B,අඩේ සමනල අද උබලගෙ දවස විශ් කරන්ඩ අමතක උනා බන් සොරි
අඩේ සංවාදය දාපන්..,0,B,අඩේ සංවාද දාපන්
අඩේ සුසා ඒක..,0,B,අඩේ සුසා ඒක
අඩේ.. ඒක පට්ට ,0,B,අඩේ ඒක පට්ට
අඩේ.. තාත්තගෙ කැරැක්ටර් එකට අපේ ආදරණීය අංකල්ව ගමු ,0,B,අඩේ තාත්ත කැරැක්ටර එකට අපේ ආදරණ අංකල් ගමු
අඩේහ්,0,B,අඩේහ්
අඩො ඒක..,0,B,අඩො ඒක
අඩො කසිප්පු ගහල ද,0,B,අඩො කසිප් ගහල ද
අඩො දැන් හෙන දියුණුතාක්ෂණයක් නෙ පාවිච්චි කරන්නෙ අනාගතේ ඉදලා අතිතෙ රැට්ටට කොල් එකක් අරන්,0,B,අඩො දැන් හෙන දියුණුතාක්ෂණ නෙ පාවිච්චි කර අනාගත ඉදලා අතිතෙ රැට්ට කොල් එකක් අරන්
අඩො මරු ,0,B,අඩො මරු
අඩො මුණුබුරා සමග සුහද කතා බහක,0,B,අඩො මුණුබුර සමග සුහද කතා බහක
අඩෝ,0,B,අඩෝ
අඩෝ ,0,B,අඩෝ
අඩෝ Gemini Man ෆිල්ම් එක ලංකාවේ ගැහුවා වගේ,0,B,අඩෝ ෆිල් එක ලංක ගැ වගේ
"අඩෝ අඩෝ උබලා තහනම් කරා නේද ? මං හිතුවේ උබලාට රාසායන ව්ද්‍යාව උපාධි විතරයි තියෙන්නේ කියලා, බලන් ගියපුවාම පාංශු පිලිබද උපාදිත් තියනවානේ , ඔයාලා දන්නවද පනපිටින් වලලපුවම ඔක්කෝම විශබිජ nasi යනවලු ටෙස්ට් කරන්න පටන්ගන්න හදන්නේ පලවෙනි කෙනා ජාමානෙක් කරගන්න ඕනී වෙලාද",1,B,අඩෝ අඩෝ උබලා තහනම් කරා නේද මං හිත උබලාට රාසාය ව්ද්‍යා උපාධි විතර තියෙ කියලා බලන් ගියපුවා පාංශු පිලිබ උපාදි තියනවාන ඔයාලා දන්න පනපිට වලලපුව ඔක්කෝ විශබිජ යනවලු ටෙස්ට කරන්න පටන්ග හද පලවෙ කෙනා ජාමාන කරග ඕනී වෙලාද
